live_rent,live_dorm,live_home,own_1280,own_car,own_motor,own_bike,own_license,own_plan_bike,own_plan_motor,rent_month,rent_satisfy,rent_experience,if_lottery,dorm_if_out,home_if_rent,consider_time,consider_cost,consider_rely,consider_flex,consider_conv,consider_safe,consider_cozy,consider_envi,consider_heal,prefer_time,prefer_dist,prefer_cost,gender,grade,income,familyeco,job,single,pets
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,5,6.25,3,0,1,0
0,0,1,0,0,1,1,1,-1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,3,11.25,3,1,0,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,2,0,3,3.75,3,1,0,1
0,0,1,0,0,0,1,1,1,-2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,0,4,16.25,3,1,0,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5,11.25,3,0,1,0
0,1,0,0,0,0,1,0,2,-2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,6.25,4,1,1,1
0,1,0,0,0,1,1,1,2,2,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,4,8.75,4,1,0,0
1,0,0,0,0,0,1,1,1,0,6,0,1,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,5,13.75,4,1,0,0
0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,1,1,6.25,3,0,1,0
0,1,0,0,0,0,1,1,2,-1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,2,2,2,0,2,6.25,3,0,0,0
0,1,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,11.25,3,0,1,0
0,0,1,0,0,0,0,0,1,-1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,6.25,4,1,0,0
0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,0,5,8.75,4,0,1,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,0,3,8.75,3,1,1,0
0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,21.25,3,1,0,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,3,18.75,3,1,1,0
0,0,1,1,0,0,0,1,1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,4,31.25,4,1,0,1
0,0,1,0,0,0,0,1,-1,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,2,0,0,1,31.25,4,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,4,3.75,4,1,0,0
1,0,0,1,0,0,0,0,-2,-2,10,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,5,21.25,4,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,2,2,1,1,8.75,3,0,0,0
0,1,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,2,8.75,3,0,1,0
