live_rent,live_dorm,live_home,own_1280,own_car,own_motor,own_bike,own_license,own_plan_bike,own_plan_motor,rent_month,rent_satisfy,rent_experience,if_lottery,dorm_if_out,home_if_rent,consider_time,consider_cost,consider_rely,consider_flex,consider_conv,consider_safe,consider_cozy,consider_envi,consider_heal,prefer_time,prefer_dist,prefer_cost,gender,grade,income,familyeco,job,single,pets
0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,1,1,1,4,6.25,3,0,0,0
0,0,1,0,0,0,0,0,-1,-2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,-1,1,0,1,6.25,4,0,1,0
1,0,0,0,0,0,1,1,0,0,8,0,1,1,0,0,1,0,1,0,1,0,0,0,0,-1,0,0,1,5,31.25,4,1,0,0
0,1,0,0,0,0,1,1,2,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2,1,0,1,7,13.75,4,1,1,1
1,0,0,0,0,1,0,1,0,1,12,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,5,11.25,4,1,0,0
0,1,0,0,0,0,1,0,2,-1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,11.25,2,1,1,0
0,1,0,0,0,1,1,1,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,9,23.75,3,1,1,0
0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,3,11.25,4,1,0,0
0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,3,8.75,3,1,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,0,5,6.25,3,1,0,0
0,1,0,0,0,0,1,1,2,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,8.75,3,0,1,0
1,0,0,0,0,1,1,1,2,2,6,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,5,13.75,4,0,0,0
0,0,1,1,0,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2,6.25,3,0,1,0
0,0,1,1,0,0,1,0,2,-2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,2,0,1,16.25,3,1,1,0
1,0,0,0,0,1,1,1,1,2,8,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5,18.75,3,1,1,1
0,1,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,3,8.75,3,1,1,0
1,0,0,0,0,0,1,1,1,2,6,0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,1,1,1,5,11.25,4,1,0,0
0,0,1,0,0,0,1,1,2,-1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,3,6.25,3,1,1,0
0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,3,3.75,4,1,1,0
0,1,0,0,1,1,1,1,1,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,6,8.75,3,1,1,0
1,0,0,0,0,1,0,1,1,1,10,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,-1,0,1,6,13.75,4,1,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,11.25,3,1,1,0
1,0,0,0,0,1,0,1,0,2,14,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,1,5,13.75,4,0,1,0
0,0,1,0,0,0,1,1,2,-2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,4,8.75,4,1,1,0
0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6,11.25,4,0,0,0
0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2,1,0,1,13.75,3,0,0,0
0,1,0,0,0,0,0,1,1,-1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,1,6,6.25,4,0,0,0
1,0,0,0,0,0,1,0,2,1,8,0,1,2,0,0,1,1,1,0,0,0,0,0,0,2,2,1,1,3,18.75,3,0,1,0
0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,3,16.25,3,1,0,0
0,1,0,0,0,0,1,1,2,-1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,2,1,1,0,2,8.75,4,1,0,0
0,1,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,11.25,3,0,0,0
1,0,0,0,0,0,1,1,0,-1,10,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,6,11.25,3,1,0,0
0,0,1,0,0,0,1,1,2,-2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,5,11.25,4,0,0,0
1,0,0,0,0,1,0,1,0,0,8,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,2,0,1,5,11.25,4,0,0,0
0,0,1,0,0,0,1,1,1,-1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,5,3.75,3,1,1,0
0,0,1,1,0,0,0,1,1,-1,0,1,1,2,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,13.75,3,0,1,0
0,1,0,0,0,0,1,1,2,-2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,-1,1,1,5,8.75,2,0,1,0
0,0,1,0,0,0,0,1,-1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,6.25,3,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,2,1,1,0,6,11.25,3,0,0,0
1,0,0,0,0,1,0,1,-2,1,10,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,6,21.25,3,1,1,0
1,0,0,1,0,0,0,1,-1,2,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,4,21.25,3,1,0,0
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,2,8.75,3,0,0,0
0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,1,4,6.25,4,1,1,0
0,1,0,0,0,0,0,0,-1,-1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,-1,0,3,31.25,3,0,1,1
1,0,0,0,0,1,1,1,-1,1,8,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,6,11.25,3,1,0,0
1,0,0,0,0,0,0,1,0,0,10,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,8.75,3,0,0,0
1,0,0,0,0,0,0,1,-2,-1,6,0,1,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,7,31.25,3,1,1,0
0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,5,11.25,4,1,1,0
0,0,1,0,0,0,1,1,2,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,2,2,1,0,3,8.75,4,1,1,1
0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,3,11.25,3,1,0,1
0,1,0,0,0,0,1,1,2,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,0,3,13.75,3,1,1,0
1,0,0,0,1,1,0,1,1,2,12,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,1,6,18.75,3,1,1,0
1,0,0,0,0,1,0,1,0,1,8,0,1,2,0,0,1,1,0,1,0,0,0,0,0,1,0,2,1,6,8.75,3,0,1,0
